transaction_id,date,amount,discount_pct,category,quantity,unit_price,tax_rate
T001,2024-01-15,$1200.50,15%,Electronics,2,$600.25,8.5%
T002,2024-01-16,$850.00,10%,Clothing,5,$170.00,7.0%
T003,2024-01-17,$2400.75,20%,Electronics,3,$800.25,8.5%
T004,2024-01-18,$450.25,5%,Home & Garden,1,$450.25,6.0%
T005,2024-01-19,$3200.00,25%,Electronics,4,$800.00,8.5%
T006,2024-01-20,$675.50,12%,Clothing,3,$225.17,7.0%
T007,2024-01-21,$1800.00,18%,Furniture,2,$900.00,9.0%
T008,2024-01-22,$950.75,8%,Electronics,1,$950.75,8.5%
T009,2024-01-23,$1250.00,15%,Home & Garden,5,$250.00,6.0%
T010,2024-01-24,$2100.50,22%,Furniture,3,$700.17,9.0%
T011,2024-02-01,$1500.00,10%,Electronics,2,$750.00,8.5%
T012,2024-02-05,$800.25,5%,Clothing,4,$200.06,7.0%
T013,2024-02-10,$3500.00,30%,Electronics,5,$700.00,8.5%
T014,2024-02-15,$625.50,7%,Home & Garden,2,$312.75,6.0%
T015,2024-02-20,$2800.00,20%,Furniture,4,$700.00,9.0%
